,0,1,2,3,4,5,6,7,8,9,10,11
55,2353214,Zongo	Zongo		13.22745	-2.37596	P	PPL	BF		10	76			0		340	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
56,2353215,Zongo	Zongo		12.34595	-1.59856	P	PPL	BF		03	53			0		305	Africa/Ouagadougou	2018-07-04,,,,,,,,,,
57,2353216,"Zonesso	Zonesso	Bonadougou,Zonesso	11.16497	-4.17687	P	PPL	BF		09	51			0		366	Africa/Ouagadougou	2012-01-18",,,,,,,,,,
58,2353217,Zoner	Zoner		11.21667	-2.83333	P	PPL	BF		13				0		257	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
59,2353218,Zonankui	Zonankui	Zonakui	12.68333	-3.58333	P	PPL	BF		01				0		261	Africa/Ouagadougou	2021-10-31,,,,,,,,,,
60,2353219,Zon	Zon	Zon	13.72901	-1.61531	P	PPL	BF		05	15			0		327	Africa/Ouagadougou	2018-11-06,,,,,,,,,,
61,2353220,Zon	Zon		11.28333	-1.4	P	PPL	BF		07				0		316	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
62,2353221,"Zomouna	Zomouna	Zanouna,Zomouna	11.2	-2.46667	P	PPL	BF		06				0		280	Africa/Ouagadougou	2012-06-05",,,,,,,,,,
63,2353222,Zomnogo	Zomnogo		13.25112	-0.45782	P	PPL	BF		05	64			0		276	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
64,2353223,Zomnogo	Zomnogo		12.61667	-0.38333	P	PPL	BF		05				0		294	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
65,2353224,"Zomkalga	Zomkalga	Dionkalga,Zomkalga	13.45749	-1.88202	P	PPL	BF		10	76			0		323	Africa/Ouagadougou	2012-01-18",,,,,,,,,,
66,2353225,Zomkalga	Zomkalga	Zomkalga	13.18893	-1.48445	P	PPL	BF		05	15			0		314	Africa/Ouagadougou	2018-11-06,,,,,,,,,,
67,2353226,"Zom	Zom	Zom,Zome,Zomé	13.82785	-2.40367	P	PPL	BF		10	76			0		371	Africa/Ouagadougou	2012-01-18",,,,,,,,,,
68,2353227,"Zolo	Zolo	Zolo,Zoulo	12.8	-2.56667	P	PPL	BF		06				0		279	Africa/Ouagadougou	2012-06-05",,,,,,,,,,
69,2353228,Zolo	Zolo		10.81667	-3.05	P	PPL	BF		13				0		266	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
70,2353229,"Zogoré	Zogore	Diogore,Diogoré,Zogore,Zogoré	13.40169	-2.59244	P	PPL	BF		10	76			0		345	Africa/Ouagadougou	2012-01-18",,,,,,,,,,
71,2353230,Zogbéga	Zogbega		12.86667	-2.1	P	PPL	BF		10				0		325	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
